content,notes,number
"Getting Active and Out There!
Outreach
Actions
Connection
Email
Linkedin Message
Alumni Databases
Message should be brief, to the point, and customized to the employee / organization / industry

Phone Call
Coffee Meetup
Lunch
Phone call should be treated like a pre-screening interview (you never know the outcome)  alumni gauge readiness
In-person meetings builds the relationship, creates memorable experiences, and are encouraged

Next
Steps
Thank you
Next Meeting
Research Postings 
Event Calendars
Keep your professionalism in mind throughout your connection (remember your Personal Brand principles)
Nurture the relationship, share articles, interesting findings, let alumni know of your interests or relevant events

Get Active, get on radars, build your alumni advisor network....they will keep you in mind when it matters most!",PANOS,77
"Networking Dos and Donts
DO
DONT
Come prepared with relevant questions, conversation topics, and research
Have a directionally sound idea of your professional interests and vision
Keep up to date with the industry trends, reference some key topics as part of the conversation
Be comfortable, relaxed, and genuinely yourself. Maintain your pre-professionalism
Attend as many networking events  networking is a skill to practice as much as data analysis
Get out of your comfort zone or group, meet new people
Have your intro statement clearly and confidently articulated  revisit elevator pitch, mission statement, etc
Dont stick to one specific group or person
Dont come unprepared. Know your plan, vision, or professional direction  take the time to self reflect and have your own plan or goals defined first
Avoid topics that are typically sensitive or personal in nature
Dont forget to request contact info from a key connection to follow-up and refer to a specific subject that was discussed. Every good initial connection could blossom to an opportunity

",PANOS,78
"Interviewing Tips  Knowing Your Target
Persistence. Resilience. Professionalism. 
Become
Pre-Professional","CHRIS
Chris  no bigger turn off than not being prepared, ",79
Behavioral Interviews,"PANOS
Chris  What do you think is the Hardest question  So tell me about yourself.....succinct summary...",80
Behavioral Interviews,"PANOS

Hardest question  So tell me about yourself.....succinct summary...",81
"Behavioral Interviews
","CHRIS
Hardest question  So tell me about yourself.....succinct summary...",82
"Business Case
Persistence. Resilience. Professionalism. ","PANOS
Who has taken a business case? What did you think? What worked / didnt work? What helped you prepare?",83
"Business Case
There is no right answer, but there is a right approach..","PANOS

As Edison the source  the website",84
"Final Phase  The Offer



The


Offer
Persistence
Resilience
Professionalism",CHRIS,85
"Session Takeaways
Importance of building and marketing your Personal Brand through different methods (Linkedin, Resume, Email, Networking)
Prepared and refurbished toolkit  Resume, Linkedin, Mission Statement, Elevator Pitch
Insiders scoop on better preparing for behavioral interviews and how to stand out from the rest 
Guidelines and tips on Getting Active and Out There to build your network and trusted advisors





= Complete



",CHRIS,86
"Aesop Business Advisory
(AesopBA)

Panos Panidis
Email: ppanidis@aesopba.com
Phone: +1 (610) 322 7555

Chriz Cruz
Email: Ccruz@aesopba.com
Phone: +1 (914) 589 0466
Contacts
www.aesopba.com

88

Q & A",,87
"
All Rights Reserved to Aesop Business Advisory LLC
Business Analyst Training Course
The Science of Data and Art of Delivery

October 20, 2018",,88
"Oct 20th Agenda
90
Communication
Implementation
Implementation
Reflective
Practice



",,89
Todays Agenda,PANOS - opener,90
Importance of Data Analysis & Art of Delivery,,91
"Problem Statement - Did You Know?
The ability to take datato be able to understand it, to process it, to extract value from it, to visualize it, to communicate itthats going to be a hugely important skill in the next decades.
- Googles Chief Economist, Dr. Hal R. Varian
How many executives have increased their attention on the ability to analyze and act on information?
- Economist, Intelligence Unit
How much of all the data we create is ever analyzed or used? 
- MIT Technology Review
85%
<1%",CHRIS,92
"94
Time / Value Scale of a Project Teams Function
Requirements &
Collection
Reconciliations & Analysis


Status Updates, Rework, 
Ad-hoc Tasks
Delivery



80%
10%
10%
Requirements &
Collection



Status Updates, Rework, 
Ad-hoc Tasks
Delivery



15%
20%
60%

5%
Recons
Time Spent:
Exec or Client Interest:

",PANOS,93
Expertise Relevance,,94
"Skills Sphere of a Modern Day Hybrid Professional
Excel
(Expert)


The blurred lines of business and technology
PPT Delivery
Access
SQL
SAS
R
STATA
Program Mgmt
Project Mgmt
Communications
Finance & Accounting
Process Flows
Python
C++
Git
Javascript
Ruby
SQL ETL
Mode
Qlik/Tableau
Presentations
(Expert)
Market Research
Facilitation
Storytelling
Audits
PHP
Technology Professional
Business Professional
Strategy

Software 
Dev
Database
Admin

Hybrid
96","CHRIS
",95
"Time / Activity Breakout by Professional Type


Technology Professional
Business Professional
Hybrid
97




Research
Working with People
Presentations
Data Analysis & Solutions","CHRIS / PANOS
",96
"Where are these Skills Most Relevant?
Mgmt = Management","PANOS

Cross- industry application, giving them the toolkit to be applicable...mention  what Safi is looking for in IB
- Q&A How many of you are interested in these industries",97
"Skills Self Assessment
http://www.uft.org/category/article-type/ny-teacher-article/editorial-cartoons?page=6
",,98
End to End Data Analysis and Deliver Process,,99
"= Science
Collect & Validate
Define, collect and classify current or historical data based on client requests. Validate the quality of the collected information to ensure accuracy of inputs in order to provide accurate outputs
Analyze
Analyze the collected information using advanced analytical methods and models to define business strengths, risks, or trends
Measure
A suggested strategy is not complete unless it generates real value for the business.

Using ongoing monitoring of sample datasets, teams conduct measurements to ensure a client or dept is on-track for successfully achieving the value of the newly suggested strategies
Deliver, Repeat.. Automate!
For even greater efficiency, develop intuitive models and automated reports to replicate the whole process according to what clients or execs want to see; so theyll spend more time focusing on strategy rather than re-doing data collection and analysis
Interpret business stories through complex data analysis and deliver key messages. This process will help confidently direct next step strategies that pave the right course for a business future
Strategize
101
End-to-End Process of Data Analysis & the Art of Delivery

= Art","CHRIS
Chris  strong technical and built, but once incorporated, people will come. They understand it, it will come in.  In this day and age, you cant have one with out the other. Need both, people will come
Panos  So what does this end to end flow look like of this skill youre learning? At one point in your career you will be expected to carry out this flow. As you can see, theres a combination of both data and science touchpoints. 
",100
"Where Does the Journey Start?
A Client or Exec Has a Need...




Regulatory Requirement
Cost-Efficiency
Business Planning
Process & Operations Improvement
Growth Strategy
Business or System 
Integration
Logistics & Lean Methods
Workforce Management
(Human Capital)
Market Research, Industry Knowledge,
Benchmarking
Innovative Ideas 
or New Offerings",PANOS,101
"103






Data Analysis
Deliverable Development
Data / Info. Collection 
Model Creation
Hypothesis Formation
Analysis and Deliverable Refinement
Strategic Recommendations
Status Reporting
Visualizations
Client Interphase / Facilitation
Upward Reporting
Senior Client Meetings
Issue Escalation
Project Mgmt
Senior Client Meetings
Client Relations
Business Development
Program Mgmt
Analyst
Senior Associate / Consultant
Manager
Senior Manager/Partner
Leadership
Team



The Project Journey
A Team is Assembled based on Expertise and Project Budget / Needs",CHRIS,102
"The Team then Conducts the Core Activities to Execute the Analysis
Define objectives and desired outcomes
Understand operating model and IT architecture 
Finalize requirements and dataset requests
Request access rights
Setup SQL scripts for extraction of targeted datasets
Run queries
Sanity check
Consolidate
Organize
Categorize / Bucket
Clean
Sort

Create reports that tie to the original requirements
Conduct analytical deep-dives to find the root causes, trends, key themes
Discuss with teams, raise risks, gaps, assumptions, critical findings
Develop hypothesis to test 
Prep story and visualizations for deliverable development
Devise strategic recommendations






End-to-End Delivery Process",PANOS,103
"Real World Sample Case: What the Data Analysis Process Look Like?
REVENUE: Customer Sales Orders Export: SALESFORCE
COSTS: Product Costs Export from Internal System: COSTTRACKER
EXTERNAL: Customer Feedback Survey Data: Survey Monkey
PERFORMANCE: Product Management Maintenance System: JIRA Prod



A VC wants you to deep-dive into their social-tech portfolio by conducting a review of a companys performance. They want to know why company profitability is dropping significantly MoM

DEFINE
EXTRACT
COMPILE
ANALYZE

Ad-Hoc: Data Quality Check
TRENDS & TROUGHS

RAG PAIN POINT DETECTION
PERFORMANCE DEEP-DIVES 
PROFITABILITY REQUIREMENTS=
SQL Data Query
UID
SMB","PANOS


End to end process in reality. Who knows what a UID is? Explain a UID... Top-down Funnel Approach to breaking down a problem
Talk about the Latency
Sifting Sand in the Sahara.....",104
The Art of Delivery,,105
"A Successful Delivery of a Final Report is Whats Going to Resonate...

Diagnostic Reports 
Present assessment results including POV with quantitative and qualitative inputs
Synthesize findings and identify key themes or root-causes
Design easy-to-understand reports to demo findings
Map results to objectives and desired outcomes
Deliver strategic priorities based on collective findings
Finalize and initiate remediation solutions / next step strategies
Clearly articulate analysis results in coordinated meeting with execs / client
Final Report of Analysis Results","PANOS

Panos  Theres a lot of information, thats why its up to you and your teams to determine whats critical, how to pinpoint / focus, vs. whats noise. All your work is channeled into this pack. ",106
"What are the Key Ingredients for an Effective Delivery?
The deliverable has a flow that is organized and well-thought out. A flow that takes the audience through a comprehensible story...from beginning to conclusion
Storyboard
Easy to grasp content, where the audience is spending less time absorbing material, but instead, more time thinking and discussing the message within the material
Intuitive
Every slide matters. The time of your audience, clients, or execs is critical, and therefore, your presentation should reflect that notion. Each slide should have a purpose that contributes to the story and over-arching problem statement, idea, solution, or need. 
Note: Appendix is always there for additional content
Purposefully Directed","CHRIS

Panos - How do you really capture the audience or recipient? How do you make sure that allll that hard work doesnt go to waste?

Less time absorbing and more time thinking and discussing the material...your findings or recommendations


Every slide matters  ask yourself, how truly important is this? If not, appendix or follow-up slide. Each slide should have a specific purpose connecting to the objective of the deliverable",107
"Real World Sample Case: What the Data Analysis Process Look Like?
REVENUE: Customer Sales Orders Export: SALESFORCE
COSTS: Product Costs Export from Internal System: COSTTRACKER
EXTERNAL: Customer Feedback Survey Data: Survey Monkey
PERFORMANCE: Product Management Maintenance System: JIRA Prod



A VC wants you to deep-dive into their social-tech portfolio by conducting a review of a companys performance. They want to know why company profitability is dropping significantly MoM

DEFINE
EXTRACT
COMPILE
ANALYZE

Ad-Hoc: Data Quality Check
TRENDS & TROUGHS

RAG PAIN POINT DETECTION
PERFORMANCE DEEP-DIVES 
PROFITABILITY REQUIREMENTS=
SQL Data Query
UID
SMB","PANOS


End to end process in reality. Who knows what a UID is? Explain a UID... Top-down Funnel Approach to breaking down a problem
Talk about the Latency
Sifting Sand in the Sahara.....",108
"110
Analysis Outputs  Different Methods for Different Topics
Convert Complex Information into Intuitive Insights for Decisive Strategies
Required Export for Objective 1
Required Export for Objective 2
Required Export for Objective 3

Sample Inputs
RAW
DATA
Stakeholder Questionnaires
CREATED
DATA
Storytelling Methods
RAG 
Heatmaps
Breakout
Graphs
Process
Flows
Trend
Graphs","PANOS


Panos  Taking data into different mediums, depending on the nature of the....figuring out the methods that make sense, not overwhelming the audience with visualizations (tableau, DOMO, Periscope)..thinking it through
To Chris point  highlighting risks, or spotlighting opportunities is critical. We will show you the techniques",109
"




111
Output Delivered, Project is Complete  How is Success Measured?
Have our teams or employees improved their performance, how well did we perform in employee or customer satisfaction surveys?
How much faster, simpler, and cheaper are products being generated or services being provided? 
By how much has the new strategy 
increased revenue, profits, customers, or users?
How robust and compliant are our current processes, and how many fewer risks, regulatory gaps, or breaks do we trigger?
Technology
Measuring Benefits through Metrics Reaffirms the Clients Investment

Human Capital
Operations
Audit and Regulatory
Strategy
How has our IT improved to deliver products or services in a more efficient manner with less issues experienced by customer or employee?","PANOS


Panos  How is success measured",110
"Delivery Dos and Donts
DO
DONT
Know your audience
Storyboard flow, before creating slides
Refer back to the original objective
Connect the dotes of objective to solution
Offer both quantitative and qualitative inputs
Clearly articulate and demonstrate findings
Involve client / execs, ample timing for          Q & As
Use crisp, consistent formatting techniques and intuitive visualizations
Use appendix for useful details not covered
Practice!
Not cater message to audience
No flow or cohesive story
Neglect to the ultimate priorities or objectives
Explain every step taken to reach the final report
Show too many unnecessary details, aka noise, or over-expose
Come in flat with generic, vague, not executable recommendations
Exclude clients and go on a long lecture
Distracting, clustered visualizations and inconsistent formatting
Not practice or prepare for presentation

","PANOS


KYA  Are they technical-savvy? Do they want the granular or just the high level concept? How familiar are they with the initiative, do you give more background? Are they people that want to feel included? Or Listen-only?",111
"Why is Knowing Both the Science of Data Analysis & Art of Delivery Important?
As the trusted advisor conducting the analysis and modeling, you can also personally deliver the valuable results with confidence using the art of 
effective delivery",CHRIS,112
Slide Critique Exercise,,113
,"Panos: What do you think of this?
Weak opening statement
The top title is repeating the opening statement and falls flat of any impactful thought
Chart impossible read, no legend, too much overlapping content, no idea where to start looking,  breaching area of no bounds, distracting arrow visualizations
Text content not ordered in any easily understandable format.  Bullet 1 is definition and bullet two is suggestion
Ordering content on the right by the urgency, red on top, middle red, gray",114
"Slide Reviews
Consistent Formatting & Clear Structure
Visually Digestible and Intuitive Flow
Focused with Messaging
Purposeful Organization and Content




Final Results: Incomprehensible slide > lost messaging > disinterested audience > wasted team effort on complex assignment > low client reviews > no contract renewal
F
F
F
F","Do the calculation of the cost of that one slide. 

3 Analysts @ $125 X 35 HRs  (learning, understanding, extracting, analyzing, classifying, modeling, charting)
1 SC @ $185 x 5 HRS  (training, advising, coaching, directing, troubleshooting, story creating)
1 M  @  $225 x 3 HRS  (reviews, feedback, editing, final touchups)
1 Partner @  $800 x 1 Hrs  (glimpse review, questions, executive summary)",115
,"Overloaded header, verbose
Color scheme is difficult, AVOID Red 
Overlapping visualizations, distracting
Cuttoff of text, too verbose
Could use some additional breakout of the categorie, one higher level bucket, 1) Governance 2) Culture 3) Strategy
Ordering from Lowest to Highest",116
"Slide Reviews
Consistent Formatting & Clear Structure
Visually Digestible and Intuitive Flow
Focused with Messaging
Purposeful Organization and Content




Final Results:",,117
,,118
"Slide Reviews
Consistent Formatting & Clear Structure
Visually Digestible and Intuitive Flow
Focused with Messaging
Purposeful Organization and Content




Final Results:",,119
,,120
"Slide Reviews
Consistent Formatting & Clear Structure
Visually Digestible and Intuitive Flow
Focused with Messaging
Purposeful Organization and Content




Final Results:",,121
"
Total H1 Demand: $98.2M
Current YTD actuals:$38.4M
Remaining Forecast: $59.8M

Technology (IT): $26.8M
Current YTD actuals:$10.5M
Remaining Forecast: $16.3M

Operations: $23.8M
Current YTD actuals:$8.6M
Remaining Forecast: $15.2M

Reg. & Control: $24.2M
Current YTD actuals:$10.1M
Remaining Forecast: $14.1M

Core Service: $23.5M
Current YTD actuals:$9.2M
Remaining Forecast: $14.3M


CEO Challenge to H1 2016 Book of Work
123
CEO H1 challenge of $90M requires a ~$8M prioritization effort within the Q2 2016 program portfolio currently trending to $98.2M by end of June.


YTD Actuals
$38.4M
Q2 Demand Forecast
$59.8M
H1 Demand Outlook
Program Figures
Budget

Program Cost ($M)
Forecast Exceeds Limit",Here they laid out the current state challenge...nicely opening up with the mission statement again....that you can clearly see they are spending way over the line...,122
"Slide Reviews
Consistent Formatting & Clear Structure
Visually Digestible and Intuitive Flow
Focused with Messaging
Purposeful Organization and Content




Final Results:",,123
"Aesop Business Advisory
(AesopBA)

Panos Panidis
Email: ppanidis@aesopba.com
Phone: +1 (610) 322 7555

Chriz Cruz
Email: Ccruz@aesopba.com
Phone: +1 (914) 589 0466
Contacts
www.aesopba.com

125

Q & A",,124
"
All Rights Reserved to Aesop Business Advisory LLC
Business Analyst Training Course
Data Extraction with SQL
October 20, 2018
How to communicate with relational databases through SQL","Welcome back  today we will dive into a more technical practice of SQL. If you need to use the restroom, just go right ahead. ",125
Todays Agenda,"First we will be covering the importance of SQL in todays world
Then we'll discuss databases and their prevalence
We'll then discuss what a database looks like
Then we'll cover how you can interact with a database (CRUD)
Then we'll cover how to connect SQL
Finally, we'll review SQL Syntax. After all SQL is a language",126
"SQL Common Thoughts for Beginners
Irrespective of company size most business use use large, relational databases. A database is a collection of data stored in some organized fashion
What is SQL?
How do you pronounce it?
How is it even used?
I dont see SQL anywhere, where is it even being used?
Is SQL important for me to know?","use large, relational databases, which makes a basic understanding of SQL a great employable skill 
use large, relational databases
A database is a collection of data stored in some organized fashion

SQL was created to interact with databases
SQL is an international standard that is recognized by all bodies",127
"SQL Definition
Structured Query Language

a programming language 

designed to manage data 

stored in relational databases. 

SQL operates through simple, declarative statements.   ",One big quote box  perhaps with a picture,128
Importance of Structured Query Language,"SQL is the most widely used database language. 
SQL is a computer language for working with sets of facts and the relationship between them
SQL, Structured Query Language, is a programming language designed to manage data stored in relational databases. SQL operates through simple, declarative statements. This keeps data accurate and secure, and helps maintain the integrity of databases, regardless of size.",129
"SQL Importance
SQL is

Most widely used database language. 

Created to interact with databases

an international standard that is recognized by all bodies

Structured Query Language (SQL) is used in most database applications",,130
"CRUD Operation
(Create, Read, Update, Delete)","SQL is the most widely used database language. 
SQL is a computer language for working with sets of facts and the relationship between them
SQL, Structured Query Language, is a programming language designed to manage data stored in relational databases. SQL operates through simple, declarative statements. This keeps data accurate and secure, and helps maintain the integrity of databases, regardless of size.",131
"What are the central operations of SQL?
Create operation or insert operation is used to add new data to the database
CREATE
This operations reads the data from the database. This process is executed by executing a query 
READ
This operation is used to modify an existing data entry.
UPDATE
This operations deletes the record from the database
DELETE",#NAME?,132
Database and Data Type,"SQL is the most widely used database language. 
SQL is a computer language for working with sets of facts and the relationship between them
SQL, Structured Query Language, is a programming language designed to manage data stored in relational databases. SQL operates through simple, declarative statements. This keeps data accurate and secure, and helps maintain the integrity of databases, regardless of size.",133
"Databases
Like filing cabinet, 

A database is a collection of data stored in some organized fashion (a set of files)
Relational Database 

Organizes information into one or more tables. 

Linked by different keys

A table is a collection of data organized into rows and columns. ","Understanding databases is an important part of master SQL SQL
The simplest way to look at SQL is like a filing cabinet, because it is a container usually a file or set of files (organized in some way)
Whether you conduct a search on the internet, log into a network at work, validating your name, or use your ATM card at a cash machine, you are using databases 
A database is a collection of data stored in some organized fashion
A relational database is a database that organizes information into one or more tables. Here, the relational database contains one table.
A table is a collection of data organized into rows and columns. Tables are sometimes referred to as relations. Here the table is celebs.
Understanding databases is an important part of master SQL SQL
The simplest way to look at SQL is like a filing cabinet, because it is a container usually a file or set of files (organized in some way)
Whether you conduct a search on the internet, log into a network at work, validating your name, or use your ATM card at a cash machine, you are using databases 
A database is a collection of data stored in some organized fashion
A ",134
"What does a relational database look like?


Record/
 tuples
Primary Key

Primary key  
uniquely identifies it from all other records in the table. 

For example, a telephone number or a unique ID number can be used as a primary key. 

Primary keys are used to specify records when querying data from multiple tables.

Primary Key","A database is a group of related data organized using tables and accessed using a database application. It is made up of Tables, Columns, Rows
A table is a collection of data organized into rows and columns. Tables are sometimes referred to as relations. Here the table is celebs. 
A record is an item or entity in a table with its attributes listed across a row. For example, a record may have a name of 'aspen tree', a height of '3 meters', and a type of 'deciduous'. Records are sometimes called tuples.
A primary key is an attribute of a record that uniquely identifies it from all other records in the table. For example, a telephone number or a unique ID number can be used as a primary key. Primary keys are used to specify records when querying data from multiple tables.
A column is a set of data values of a particular type. Here, id, name, and age are the columns. 
A row is a single record in a table. 
",135
"What does a relational database look like?


Record/ 
tuples
Primary Key

Foreign Key

Foreign key  

Unique ID (primary key) in a second table, 

Used to link to the first table.","A database is a group of related data organized using tables and accessed using a database application. It is made up of Tables, Columns, Rows
A table is a collection of data organized into rows and columns. Tables are sometimes referred to as relations. Here the table is celebs. 
A record is an item or entity in a table with its attributes listed across a row. For example, a record may have a name of 'aspen tree', a height of '3 meters', and a type of 'deciduous'. Records are sometimes called tuples.
A primary key is an attribute of a record that uniquely identifies it from all other records in the table. For example, a telephone number or a unique ID number can be used as a primary key. Primary keys are used to specify records when querying data from multiple tables.
A column is a set of data values of a particular type. Here, id, name, and age are the columns. 
A row is a single record in a table. 
",136
"What are the types of data?
To represent TRUE or False
To represent numbers with fraction such as 12.1 where precision of the fraction may not be preserved across manipulation of such column.
To represent numbers such as 1, 2, 3 Also numbers with decimals where numbers of decimals are specified.
To represent alpha-numeric characters like names.","Character data types allow basic alpha-numeric characters. These use an exact length.
Varchar data types allow alpha-numeric characters of any length up to a maximum specified length.
Decimal data types hold numbers that can have decimal values up to 38 decimal places. The exact number of decimal places is specified.
Float is a numeric data type that allows floating decimals. This stores approximate values.
Time holds hours, minutes, seconds, and fractions of seconds.
Date holds calendar dates.
Enum holds a set of specified values such as 'small', 'medium', and 'large'.
",137
SQL Application,"SQL is the most widely used database language. 
SQL is a computer language for working with sets of facts and the relationship between them
SQL, Structured Query Language, is a programming language designed to manage data stored in relational databases. SQL operates through simple, declarative statements. This keeps data accurate and secure, and helps maintain the integrity of databases, regardless of size.",138
"SQL is not an application but a language. Youll need an application that supports the execution of SQL statements
Applications that you can use for SQL","SQL was created to interact with databases
SQL is an international standard that is recognized by all bodies",139
"The Process of using SQL
Identify Primary Key Attributes  a key is an attribute whose values are unique
Identify Table Name - every table is a database that has a name that identifies it (the name is always unique)
Schema is the table name and its attributes
Add Table Row
Saving Table Changes
Listing Table Rows
Updating Tables Rows
Deleting Table Rows
Host: bizbank.ciqpyn2jv9qh.us-east-2.rds.amazonaws.com
Username: academy
Password: Aesop123456
Port 3306
Run query
Edit / correct where query run experiences errors
Google sources to troubleshoot:
SQL Shack
Stackoverflow
Microsoft Azure
Remember: More often than not, people have already asked your same question so the answer already exists out there","The primary key attribute is the unique identifier of the dataset that will let us know what we can compare across datasets. 


Host: aesop.ciqpyn2jv9qh.us-east-2.rds.amazonaws.com
Username: aesop
Password: Zeus123456
Port 3306",140
"EXERCISE: Connect to our SQL Database
","bizbank.ciqpyn2jv9qh.us-east-2.rds.amazonaws.com
academy
Aesop123456
",141
"Introducing our Client: BizBank Barbados
Problem 
Statement
BizBank Barbados, Inc. Founded in 2016, BizBank is a Caribbean fintech company operating a worldwide digital wallet and payments system that supports online money transfers and serves as an electronic alternative to traditional banking methods like checking transactions, savings accounts, and processing money orders. The companys mission is to bring banking and cash management as a public utility for under-served customers in developing countries. The company operates as a payment processor for online vendors and other commercial users, for which it charges a small fee in exchange for benefits such as one-click banking transactions.
Oliver Barlow
BizBank CEO
Caribbean Central Bank Ministers and BizBank Founder, Oliver Barlow Caribbean Economic Forum Event April 2017","SQL was created to interact with databases
SQL is an international standard that is recognized by all bodies",142
"BizBank Database For Use
Problem 
Statement
With an upcoming Q1 shareholder meeting, the CEO of BizBank has requested a status financial update report of the firms Q1 $182M program investments. He would like to see:

Q1 financial summary by investment category: budget, actuals & forecast, remaining budget of the total spend (actuals + spend)
A view of where projects stand in their delivery by investment category
Which % of projects are still in early planning stages?
If there are any projects he should be concerned about and why (R/A)
This update is requested to be on a single slide
Oliver Barlow
BizBank CEO","SQL was created to interact with databases
SQL is an international standard that is recognized by all bodies",143
Field Legend,,144
SQL Clause,"SQL is the most widely used database language. 
SQL is a computer language for working with sets of facts and the relationship between them
SQL, Structured Query Language, is a programming language designed to manage data stored in relational databases. SQL operates through simple, declarative statements. This keeps data accurate and secure, and helps maintain the integrity of databases, regardless of size.",145
"SQL Common Clauses
SELECT

GROUPBY

SUM

COUNT

JOIN
=, <, >, <=, >=, <>

ACTIONS
CONDITIONS
OPERATORS
AND

OR

NOT

WHERE

LIKE",,146
"148
Summary SQL Common Clauses Definitions",,147
"Select and From
149
SELECT <COLUMN NAME>
FROM <TABLE NAME>",,148
"SQL Query (Basic Form)
SELECT <COLUMN NAME>
FROM <TABLE NAME>
WHERE <conditions>
UNION <...>
GROUP BY <...>
ORDER BY <...>
REQUIRED

OPTIONAL


Enrollment Table
","SELECT Statement contains a complete description for a set of data that you want to obtain from a database
To use select to retrieve table data, you need at minimum two pieces of information (what you want to select and from where you want to selet it",149
"Exercise
151
Write a query that will pull the project name 
from the Product Portfolio table

Select project_name from product_portfolio_table",,150
"Filtering Data
152
SELECT <COLUMN NAME>
FROM <TABLE NAME>
WHERE < CONDITION OF A COLUMN>",,151
"Filtering data with AND, OR, and AS
153
SELECT <COLUMN NAME>
FROM <TABLE NAME>
WHERE < CONDITION OF A COLUMN>",,152
"Exercise
154
Write a query filter out 
",,153
"Calculation Functions
155
SELECT COUNT<COLUMN NAME>
FROM <TABLE NAME>
WHERE < CONDITION OF A COLUMN>

SUM
SUM() is a function that takes the name of a column as an argument and returns the sum of all the values in that column.
SELECT SUM(column_name) FROM table_name;

COUNT
COUNT() is a function that takes the name of a column as an argument and counts the number of rows where the column is not NULL.
SELECT COUNT(column_name) FROM table_name;

AVG
AVG() is an aggregate function that returns the average value for a numeric column.
SELECT AVG(column_name) FROM table_name;",,154
"Exercise
156
Write a query that will calculate

",,155
"Changing Structure of Data
157
SELECT <COLUMN NAME>
FROM <TABLE NAME>
GROUP BY <...>
ORDER BY <...>

GROUP BY
GROUP BY is a clause in SQL that is only used with aggregate functions. It is used in collaboration with the SELECT statement to arrange identical data into groups.
SELECT column_name, COUNT(*) FROM table_name GROUP BY column_name;

ORDER BY
ORDER BY is a clause that indicates you want to sort the result set by a particular column either alphabetically or numerically.
SELECT column_name FROM table_name ORDER BY column_name ASC | DESC;",,156
"Exercise
158
Write a query filter out 
",,157
"Joining Table
159
SELECT column_name(s) 
FROM table_1 
JOIN table_2 
ON table_1.column_name = table_2.column_name

INNER JOIN
An inner join will combine rows from different tables if the join condition is true.

OUTER JOIN
An outer join will combine rows from different tables even if the join condition is not met. Every row in the left table is returned in the result set, and if the join condition is not met, then NULL values are used to fill in the columns from the right table.
SELECT column_name(s) FROM table_1 LEFT JOIN table_2 ON table_1.column_name = table_2.column_name;
",,158
"Joining Table
160",,159
"Exercise
161
Write a query filter out 
",,160
"Aesop Business Advisory
(AesopBA)

Panos Panidis
Email: ppanidis@aesopba.com
Phone: +1 (610) 322 7555

Chriz Cruz
Email: Ccruz@aesopba.com
Phone: +1 (914) 589 0466
Contacts
www.aesopba.com

162

Q & A",,161
"
All Rights Reserved to Aesop Business Advisory LLC
Business Analyst Training Course
Data Analysis FUN-damentals

October 20, 2018","How many of you are new? Who is here from last week? Can someone discuss what we learned? (hotkeys navigation, effective delivery)

Who has the dataset for todays workshop? Does everyone have their worksheet filled in form last session? If not, can you forward the one from my email to their email address? 

Today we have a special guest, John Elicker coming over from Accenture focusing on the Pharma and Life Sciences pspace. Really excited to hear about some of his unique project experiences. 
",162
Todays Agenda,,163
"Basic Formulas and Fundamental Functions
SUM 

SUMIF

SELECTIVE SUMMING

COUNT

IF
ALT HOTKEYS FORMATTING

FILTERS

LOCKING CELL

BORDERS

DATA VALIDATIONS

CUSTOM METRICS & CONDITIONAL FORMATTING
FORMULAS
FUNCTIONS
ROWS

COLUMNS

VALUE TYPES

FILTERS

PIVOT CHARTS
PIVOT TABLE",PANOS,164
Data Analysis Introduction,,165
"
        What is Excel Used For?  
Starting Tool



Data
Storage
Data
Mgmt
Data
Analysis

Reporting

Automation
Storage of data whether self-created or resourced from a central system
Limitation: Excel has a smaller capacity limit vs data warehouses or Access
Manage information using created excel trackers or tables
Conduct reconciliations to check for data or informational discrepancies
Conduct analysis in Excel by using the analytical functionality (advanced formulas, pivot tables, table arrangements, visualizations, conditional formatting)
Create deliverable-ready reports using well-prepared tables, intuitive visualizations, or formatted (well-organized) pivot tables
Repeated analyses or management methods can be automated using VBA or macro-recording functions","CHRIS

Once you understand the logic of Excel formulas, everything comes much easier. Similar mentality of executing order of operations. 

Chris  multi-utility tool, not going away, there are compeititors, but different purposes...Excel is a great starting tool.",166
"Why is it Important to Master Data Analysis?
Analysis Speed (faster insights):
Hotkeys, hotkeys, hotkeys!
Reporting Accuracy (dependable output):
Reconciliations, sanity checks, QA
Deliver with Clarity:
Reporting only what you need to show in a crisp and intuitive manner
In this digital age, data is ubiquitous! The ability to efficiently and expediently make sense of it is critical in any field or industry
Data Organization (transferable & digestible work):
Data bucketing, table arrangements, data formatting techniques
Fast, accurate, and intuitive reporting will lead to efficient and effective 
strategic decision making. Thats a competitive edge.


","CHRIS


Speed  Time to insights and decisions, faster time to market and strategic decisions. CIO elapsed calendar time
Data Organization  data comes in sloppy, within all the data there are buried gems of information. Having the ability to organize, format, clean, cateogirze, for proper analysis is how you best-position your teams for success
Reporting Accuracy  using techniques, you can check for data quality...matching datasets to source, checking for blanks or null values, quality of fields. 
- You can quickly create intuitive and impactful reports using multi-layers and visualizatios",167
